a    +    *    (    )    $    E    T    F
d3   0    0    d1   0    0    2    4    5
d3   0    0    d1   0    0    6    4    5
0    d8   0    0    0    d7   0    0    0
0    r6   r6   0    r6   r6   0    0    0
0    r2   d9   0    r2   r2   0    0    0
0    r4   r4   0    r4   r4   0    0    0
0    d8   0    0    d10  0    0    0    0
0    0    0    0    0    acc  0    0    0
d3   0    0    d1   0    0    0    11   5
d3   0    0    d1   0    0    0    0    12
0    r5   r5   0    r5   r5   0    0    0
0    r1   d9   0    r1   r1   0    0    0
0    r3   r3   0    r3   r3   0    0    0
